imdbID,Title,Actors,Genre,Country,Language,Production,Rated,Runtime,Year,imdbRating,Responsibility,popularity2,rating,totalVotes,budget2
tt1351685,Jack the Giant Slayer, Stanley Tucci,Adventure,USA,English,Warner Bros.,PG-13,114,2013,6.3,Screenplay,12.516,5.6,3358,197687603
tt0099685,Goodfellas, Lorraine Bracco,Biography,USA,"English,Italian",Warner Bros.,R,146,1990,8.7,Book,21.292,8.4,5496,46836394
tt0102138,JFK, Steve Reed,Drama,"France,USA","English,Spanish",Warner Bros.,R,189,1991,8,Screenplay,13.056,7.7,888,205405498
tt0093058,Full Metal Jacket, R. Lee Ermey,Drama,"UK,USA",English,Warner Bros.,R,116,1987,8.3,Screenplay,16.561,8.1,5076,46357676
tt0048028,East of Eden, Burl Ives,Drama,USA,English,Warner Bros. Pictures,PG,118,1955,8,Novel,6.941,7.7,300,5
tt0286788,What a Girl Wants, Eileen Atkins,Comedy,USA,English,Warner Bros. Pictures,PG,105,2003,5.8,play,9.517,6,801,50700000
tt0032138,The Wizard of Oz, Bert Lahr,Adventure,USA,English,Warner Bros. Pictures,PG,102,1939,8.1,Screenplay,15.144,7.5,2892,33754967
tt0817177,Flipped, Anthony Edwards,Comedy,USA,English,Warner Bros. Pictures,PG,90,2010,7.7,Screenplay,10.293,7.4,844,1755212
tt0426931,August Rush, Terrence Howard,Drama,USA,English,Warner Bros. Pictures,PG,114,2007,7.5,Screenplay,9.956,7.3,1534,66122026
tt0386117,Where the Wild Things Are, Madeleine Greaves,Adventure,"Germany,Australia,USA",English,Warner Bros. Pictures,PG,101,2009,6.8,Screenplay,9.563,6.4,952,100086793
tt4116284,The LEGO Batman Movie, Ralph Fiennes,Animation,USA,English,Warner Bros. Pictures,PG,104,2017,7.3,Screenplay,16.516,7.2,2842,311950384
tt3014284,The Lego Ninjago Movie, Kumail Nanjiani,Animation,USA,English,Warner Bros. Pictures,PG,101,2017,6,Screenplay,11.728,6.3,410,123081555
tt0129167,The Iron Giant, James Gammon,Animation,USA,English,Warner Bros. Pictures,PG,86,1999,8,Screenplay,15.351,7.8,2738,23159305
tt0106965,Free Willy, August Schellenberg,Adventure,"USA,France",English,Warner Bros. Pictures,PG,112,1993,5.9,story,11.854,6,817,153698625
tt0327554,Catwoman, Lambert Wilson,Action,USA,"English,Spanish",Warner Bros. Pictures,PG-13,104,2004,3.3,characters,13.931,4.4,1681,82102379
tt0425061,Get Smart, Alan Arkin,Action,USA,English,Warner Bros. Pictures,PG-13,110,2008,6.5,characters,14.49,6.1,1818,230685453
tt1515091,Sherlock Holmes: A Game of Shadows, Rachel McAdams,Action,USA,"English,French,Italian,German",Warner Bros. Pictures,PG-13,129,2011,7.5,characters,17.468,7.1,6290,334615000
tt0120791,Practical Magic, Dianne Wiest,Comedy,USA,English,Warner Bros. Pictures,PG-13,104,1998,6.2,Novel,10.112,6.5,647,46683377
tt0377818,The Dukes of Hazzard, Steve Lemme,Action,USA,English,Warner Bros. Pictures,PG-13,104,2005,5.1,Screenplay,10.092,5.2,534,110803676
tt0185183,Battlefield Earth, Kim Coates,Action,USA,English,Warner Bros. Pictures,PG-13,118,2000,2.4,Screenplay,7.61,3,390,21400000
tt1075747,Jonah Hex, Michael Fassbender,Action,USA,English,Warner Bros. Pictures,PG-13,81,2010,4.7,Screenplay,11.629,4.6,691,10539000
tt0926084,Harry Potter and the Deathly Hallows: Part 1, Harry Melling,Adventure,"UK,USA",English,Warner Bros. Pictures,PG-13,146,2010,7.7,Screenplay,32.858,7.7,10582,954305868
tt1077368,Dark Shadows, Eva Green,Comedy,"USA,Australia",English,Warner Bros. Pictures,PG-13,113,2012,6.2,Screenplay,16.116,5.9,4117,245527149
tt1345836,The Dark Knight Rises, Joseph Gordon-Levitt,Action,"UK,USA",English,Warner Bros. Pictures,PG-13,164,2012,8.4,Screenplay,30.286,7.7,13728,1084939099
tt0414993,The Fountain, Mark Margolis,Drama,"USA,Canada",English,Warner Bros. Pictures,PG-13,96,2006,7.3,Screenplay,11.322,6.9,1425,15304890
tt2006295,The 33, James Brolin,Biography,USA,"English,Spanish",Warner Bros. Pictures,PG-13,127,2015,6.9,Screenplay,9.077,6.2,559,24902723
tt1327194,The Lucky One, Riley Thomas Stewart,Drama,USA,English,Warner Bros. Pictures,PG-13,101,2012,6.5,Screenplay,13.314,6.9,1957,99357138
tt1401152,Unknown, Aidan Quinn,Action,"UK,Germany,France,USA","English,German",Warner Bros. Pictures,PG-13,113,2011,6.9,Screenplay,12.27,6.6,2003,130786397
tt1638355,The Man from U.N.C.L.E., Elizabeth Debicki,Action,"USA,UK","English,Italian",Warner Bros. Pictures,PG-13,116,2015,7.3,Screenplay,10.564,7.1,3481,108145109
tt0230838,Sweet November, Greg Germann,Drama,USA,English,Warner Bros. Pictures,PG-13,119,2001,6.7,story,8.333,6.6,587,65754228
tt0284490,Showtime, Zaid Farid,Action,"USA,Australia",English,Warner Bros. Pictures,PG-13,95,2002,5.5,story,9.534,5.3,453,77741732
tt0132245,Driven, Stacy Edwards,Action,"USA,Canada,Australia",English,Warner Bros. Pictures,PG-13,116,2001,4.5,story,27.856,4.7,315,54744738
tt1261945,Sex and the City 2, Kim Cattrall,Comedy,USA,English,Warner Bros. Pictures,R,146,2010,4.4,Book,10.665,5.8,784,288347692
tt1268799,A Very Harold & Kumar 3D Christmas, Austin Bickel,Adventure,USA,English,Warner Bros. Pictures,R,90,2011,6.3,characters,8.129,6,485,35387212
tt0360486,Constantine, Djimon Hounsou,Drama,"USA,Germany","English,German",Warner Bros. Pictures,R,121,2005,7,Comic,13.839,6.8,3185,230884728
tt0204313,Exorcist: The Beginning, Remy Sweeney,Horror,USA,English,Warner Bros. Pictures,R,114,2004,5.1,Movie,7.947,4.9,322,78000586
tt0104802,The Mambo Kings, Ralph Irizarry,Drama,"France,USA","English,Spanish",Warner Bros. Pictures,R,104,1992,6.4,Novel,3.884,6.1,45,6742168
tt1179056,A Nightmare on Elm Street, Katie Cassidy,Crime,USA,English,Warner Bros. Pictures,R,95,2010,5.2,Screenplay,9.437,5.5,1374,115664037
tt1292566,How to Be Single, Damon Wayans Jr.,Comedy,USA,English,Warner Bros. Pictures,R,110,2016,6.1,Screenplay,9.87,6.1,2000,112343513
tt1742044,Jersey Boys, Christopher Walken,Biography,USA,"English,Italian",Warner Bros. Pictures,R,134,2014,6.8,Screenplay,7.035,6.9,373,67347013
tt0407887,The Departed, Mark Wahlberg,Crime,USA,English,Warner Bros. Pictures,R,151,2006,8.5,Screenplay,18.662,8.1,7720,289847354
tt0278504,Insomnia, Hilary Swank,Drama,"USA,Canada",English,Warner Bros. Pictures,R,118,2002,7.2,Screenplay,18.601,6.9,2184,113714830
tt2561572,Get Hard, Alison Brie,Comedy,USA,English,Warner Bros. Pictures,R,100,2015,6,Screenplay,13.234,6,1442,111811453
tt0444682,The Reaping, AnnaSophia Robb,Horror,USA,"English,Spanish",Warner Bros. Pictures,R,99,2007,5.7,Screenplay,32.473,5.5,375,62771059
tt1499658,Horrible Bosses, Charlie Day,Comedy,USA,English,Warner Bros. Pictures,R,98,2011,6.9,Screenplay,14.128,6.5,3776,117000000
tt0085995,National Lampoon's Vacation, Randy Quaid,Adventure,USA,English,Warner Bros. Pictures,R,98,1983,7.4,Screenplay,13.683,7.1,663,61399552
tt1396484,It, Finn Wolfhard,Drama,"USA,Canada",English,Warner Bros. Pictures,R,135,2017,7.5,Screenplay,21.682,7.2,10732,700381748
