imdbID,Title,Actors,Genre,Country,Language,Production,Rated,Runtime,Year,imdbRating,Responsibility,popularity2,totalVotes,budget2
tt0163978,The Beach, Virginie Ledoyen,Adventure,UK,English,20th Century Fox,R,119,2000,6.6,screenplay,58.7,2307,144056873
tt0409847,Cowboys & Aliens, Matthew Taylor,Action,USA,English,Universal Pictures,PG-13,119,2011,6,screenplay,15.641,3058,174822325
tt0086927,Bachelor Party, George Grizzard,Comedy,USA,English,Twentieth Century Fox Home Entertainment,R,105,1984,6.3,story,11.24,250,38435947
tt0395972,North Country, Frances McDormand,Drama,USA,English,Warner Bros.,R,126,2005,7.3,screenplay,23.977,246,25224242
tt0069113,The Poseidon Adventure, Carol Lynley,Action,USA,English,20th Century Fox,PG,117,1972,7.1,novel,9.995,386,84563118
tt2372222,Kick, Randeep Hooda,Action,India,Hindi,UTV Communications,NOT RATED,146,2014,5.4,story,4.158,68,55000000
tt1220628,I Hope They Serve Beer in Hell, Yvette Yates,Comedy,USA,English,Freestyle Releasing,R,197,2009,5.3,novel,3.946,35,1429299
tt1441395,Under the Skin, Dougie McConnell,Drama,Poland,English,A24,R,108,2013,6.3,book,12.172,1760,5380251
tt0780504,Drive, Albert Brooks,Crime,Spain,Spanish,FilmDistrict,R,100,2011,7.8,screenplay,13.96,6628,78054825
tt0059825,The Train, Suzanne Flon,Thriller,France,French,United Artists,NOT RATED,133,1964,7.9,story,7.12,103,6800000
tt4287320,The Circle, Bill Paxton,Drama,USA,English,EuropaCorp / STXfilms,PG-13,165,2017,5.3,screenplay,10.617,2651,20497844
tt0249478,Domestic Disturbance, Debra Mooney,Crime,USA,English,Paramount Pictures,PG-13,89,2001,5.5,story,7.615,180,54249294
tt0134119,The Talented Mr. Ripley, Cate Blanchett,Crime,Italy,Italian,Paramount Pictures,R,139,1999,7.4,novel,12.086,1344,128798265
tt0080436,Battle Creek Brawl, Mako,Action,USA,English,Golden Harvest Company,R,95,1980,5.8,screenplay,4.956,52,854
tt3766394,"Hello, My Name Is Doris", Stephen Root,Comedy,USA,English,Red Crown Productions,R,90,2015,6.6,screenplay,9.499,260,14444999
tt0099472,DuckTales the Movie: Treasure of the Lost Lamp, Richard Libertini,Animation,France,English,Walt Disney Pictures,G,74,1990,6.9,screenplay,10.33,390,18115724
tt2395427,Avengers: Age of Ultron, Chris Evans,Action,USA,English,Walt Disney Pictures,PG-13,141,2015,7.4,characters,85.677,13109,1405403694
tt1051904,Goosebumps, Ryan Lee,Adventure,Australia,English,Sony Pictures,PG,103,2015,6.3,screenplay,29.439,2090,158162788
tt0114663,Three Wishes, Seth Mumy,Drama,USA,English,HBO Video,PG,115,1995,6.2,story,2.312,33,7025496
tt0288477,Ghost Ship, Desmond Harrington,Horror,Spain,Spanish,Warner Bros.,R,91,2002,5.5,story,9.671,970,68349884
tt1007029,The Iron Lady, Alice da Cunha,Biography,France,English,The Weinstein Co.,PG-13,105,2011,6.4,screenplay,9.079,888,114956699
tt0337692,On the Road, Amy Adams,Adventure,France,French,IFC Films/Sundance Selects,R,124,2012,6.1,book,8.534,512,8784318
tt0120891,Wild Wild West, Salma Hayek,Action,USA,English,Warner Bros.,PG-13,106,1999,4.8,story,11.743,1748,222104681
tt1148204,Orphan, CCH Pounder,Horror,Germany,German,Warner Bros.,R,205,2009,7,screenplay,13.287,2461,41596251
tt1972571,A Most Wanted Man, Mehdi Dehbi,Crime,UK,English,Lionsgate ,R,122,2014,6.8,screenplay,11.164,779,31554855
tt0376108,Rebound, Horatio Sanz,Comedy,USA,English,20th Century Fox,PG,86,2005,5.1,story,8.827,150,16809014
tt0200027,Riding in Cars with Boys, Brittany Murphy,Biography,USA,English,Columbia Pictures,PG-13,132,2001,6.5,book,6.316,199,35743308
tt1002563,The Young Messiah, Finn Ireland,Drama,USA,English,Focus Features,PG-13,111,2016,5.5,novel,2.974,49,6490401
tt1615065,Savages, Jana Banker,Crime,USA,English,Universal Pictures,R,131,2012,6.5,screenplay,9.673,1225,82966152
